Property,Expected Type,Description,URL
description,Text,A description of the item.,http://biothings.io/explorer/vocab/terms/description/
identifier,Text,The identifier property represents any kind of identifier for any kind of Thing,http://biothings.io/explorer/vocab/terms/identifier/
sideEffect,Text,Side effect of a drug,http://biothings.io/explorer/vocab/terms/sideEffect/
firstApprovalDate,Text,The data when a drug is first approved,http://biothings.io/explorer/vocab/terms/firstApprovalDate/
drugIndication,Text,Approved  indication of a drug,http://biothings.io/explorer/vocab/terms/drugIndication/
establishedPharmacologicClass,Text,A pharmacologic class associated with an approved indication,http://biothings.io/explorer/vocab/terms/establishedPharmacologicClass/
drugContraindication,Text,Contraindication of a drug,http://biothings.io/explorer/vocab/terms/drugContraindication/
mechanismOfAction,Text,The specific biochemical interaction through which this drug of supplement produces its pharmacological effect,http://biothings.io/explorer/vocab/mechanismOfAction/
manufacturer,Text,The manufacturer of the product,http://biothings.io/explorer/vocab/manufacturer/
nonProprietaryName,Text,The generic name of this drug or supplement,http://biothings.io/explorer/vocab/nonProprietaryName/
patent,Text,Approved patent related to a drug,http://biothings.io/explorer/vocab/patent/
clinicalPharmacology,Text,Description of the absorption and elimination of drugs,http://biothings.io/explorer/vocab/clinicalPharmacology/
drugClass,Text,The class of drug this belongs to,http://biothings.io/explorer/vocab/terms/drugClass/
administrationRoute,Text,"A route by which this drug may be administered, e.g. 'oral'",http://biothings.io/explorer/vocab/terms/administrationRoute/
dosageForm,Text,"A dosage form in which this drug/supplement is available, e.g. 'tablet'",http://biothings.io/explorer/vocab/terms/dosageForm/
drugUnit,Text,The unit in which the drug is measured,http://biothings.io/explorer/vocab/terms/drugUnit/
interactingDrug,Text,Another drug that is known to interact with this drug ,http://biothings.io/explorer/vocab/interactingDrug/
clinicalPhase,Text,Clinical trial phase of the drug,http://biothings.io/explorer/vocab/terms/clinicalPhase/
